"filename", "language", "TypeScript", "Markdown", "JSON", "JSON with Comments", "JavaScript", "comment", "blank", "total"
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/expand-self-closing.ts", "TypeScript", 22, 0, 0, 0, 0, 46, 9, 77
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/hson-metadata-transit.ts", "TypeScript", 205, 0, 0, 0, 0, 9, 19, 233
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/namespace-svg.ts", "TypeScript", 12, 0, 0, 0, 0, 29, 4, 45
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/optional-endtag.ts", "TypeScript", 190, 0, 0, 0, 0, 29, 42, 261
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/ordinary-attribute-transit.ts", "TypeScript", 244, 0, 0, 0, 0, 5, 27, 276
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/preflight-attrs-escaping.ts", "TypeScript", 45, 0, 0, 0, 0, 42, 11, 98
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/preflight-helpers.ts", "TypeScript", 24, 0, 0, 0, 0, 1, 6, 31
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/quoted-unquoted.ts", "TypeScript", 59, 0, 0, 0, 0, 41, 19, 119
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-preflights/strip-html-comments.ts", "TypeScript", 6, 0, 0, 0, 0, 22, 5, 33
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/build-wire-attrs.ts", "TypeScript", 37, 0, 0, 0, 0, 31, 8, 76
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/decode-html-string-transport.ts", "TypeScript", 19, 0, 0, 0, 0, 1, 2, 22
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/encode-html-tag.ts", "TypeScript", 30, 0, 0, 0, 0, 1, 18, 49
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/escape-html.ts", "TypeScript", 17, 0, 0, 0, 0, 27, 3, 47
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/filter-xml.html.ts", "TypeScript", 60, 0, 0, 0, 0, 40, 10, 110
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/parse_html_attrs.ts", "TypeScript", 202, 0, 0, 0, 0, 49, 22, 273
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/html-utils/unwrap-root-elem.ts", "TypeScript", 15, 0, 0, 0, 0, 18, 5, 38
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/json-utils/canonicalize.ts", "TypeScript", 14, 0, 0, 0, 0, 22, 3, 39
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/json-utils/key-prefix-guard.ts", "TypeScript", 10, 0, 0, 0, 0, 1, 3, 14
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/json-utils/normalize-ix.ts", "TypeScript", 10, 0, 0, 0, 0, 13, 5, 28
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/json-utils/ordered-json.ts", "TypeScript", 218, 0, 0, 0, 0, 10, 17, 245
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/json-utils/unwrap-root-obj.ts", "TypeScript", 17, 0, 0, 0, 0, 23, 5, 45
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/node-utils/detach-hson-root-value.ts", "TypeScript", 34, 0, 0, 0, 0, 7, 3, 44
"/Users/philliphanson/Documents/Design/web/hson/hson-live/src/api/transform/utils/node-utils/node-from-svg.ts", "TypeScript", 92, 0, 0, 0, 0, 39, 6, 137
